key,name,signals,ai_runs,orders,bars,first_signal,median_signal_abs_return_15,best_signal_abs_return_15,sheet,panel,visual_observation
NSE_EQ|24445,AGI Infra,18,1,1,376,10:54:14,0.4153237423430156,1.5424610051993026,charts-01.png,1,AI entry follows the first strong rally and pullback; later signals cluster around VWAP and consolidation.
NSE_EQ|25,Adani Enterprises,1,0,0,364,10:21:49,0.689255346560147,0.689255346560147,charts-01.png,2,signal during morning advance; no AI; remaining immediate rise then long consolidation.
BSE_EQ|532921,Adani Ports & SEZ,1,0,0,361,10:25:04,0.4093933018706974,0.4093933018706974,charts-01.png,3,signal near first local peak; second sustained afternoon advance has no fresh visible signal at onset.
NSE_EQ|25984,Aditya Vision,1,0,0,375,11:53:34,0.1048387096774128,0.1048387096774128,charts-01.png,4,single signal during nearly flat midday prices after opening swings.
BSE_EQ|500003,Aegis Logistics,3,0,0,378,12:31:07,0.1571738642317077,1.056629314883062,charts-01.png,5,"signals mostly at brief midday or afternoon fluctuations, after opening rise."
NSE_EQ|14398,Amd Industries,1,0,0,276,10:10:56,0.7507251322299902,0.7507251322299902,charts-01.png,6,sparse stair-step decline; one marker does not establish executable momentum.
NSE_EQ|166,Andhra Paper,15,1,0,376,10:08:46,0.1162790697674331,1.5015457088178863,charts-01.png,7,AI starts near sharp morning low; repeated later signals mostly range trading.
NSE_EQ|758968,Anlon Healthcare,4,0,0,376,10:58:19,1.369618993842581,1.878522229179702,charts-01.png,8,morning high signal precedes pullback; later signals alternate through ranges.
NSE_EQ|3727,Anmol,2,0,0,368,10:07:58,1.3490360993706152,1.8612521150592087,charts-01.png,9,stair-step bullish morning ending in flat ceiling; limited signals.
NSE_EQ|13598,Antelopus Selan Energy,2,0,0,377,09:15:58,2.264677458209285,3.303897016827051,charts-01.png,10,early signals precede substantial morning rally; no AI.
NSE_EQ|28314,Anuh Pharma,3,0,0,375,09:49:00,0.3089598352214229,0.5459414915533589,charts-01.png,11,signal at morning trough and afternoon breakdown; no AI.
